onset	duration	RT	accuracy
18.021	3.333	1.544	1
21.363	3.333	2.342	1
24.704	3.333	1.856	1
28.046	3.333	2.239	1
31.387	3.333	1.669	1
34.728	3.333	2.478	1
56.085	3.333	1.815	1
59.426	3.333	1.826	1
62.768	3.333	2.325	1
66.109	3.333	1.779	1
69.45	3.333	2.077	1
72.792	3.333	2.082	1
94.148	3.333	2.327	1
97.49	3.333	2.787	1
100.831	3.333	1.627	1
104.172	3.333	2.292	1
107.514	3.333	1.458	1
110.855	3.333	1.949	1
132.212	3.333	2.441	1
135.553	3.333	NaN	NaN
138.895	3.333	1.981	1
142.236	3.333	1.931	1
145.577	3.333	2.104	1
148.919	3.333	2.443	1
170.275	3.333	2.404	1
173.616	3.333	1.976	1
176.958	3.333	2.072	1
180.299	3.333	1.343	1
183.641	3.333	1.982	1
186.982	3.333	2.114	1
208.339	3.333	2.406	1
211.68	3.333	2.233	1
215.021	3.333	1.889	1
218.363	3.333	2.171	1
221.704	3.333	1.775	1
225.045	3.333	1.884	1
246.402	3.333	2.065	1
249.743	3.333	1.917	1
253.085	3.333	2.155	1
256.426	3.333	2.912	1
259.767	3.333	2.089	1
263.109	3.333	2.119	1
284.465	3.333	2.354	1
287.807	3.333	1.305	1
291.148	3.333	2.516	1
294.49	3.333	1.893	0
297.831	3.333	1.496	1
301.172	3.333	2.098	1
322.529	3.333	2.114	1
325.87	3.333	1.825	1
329.211	3.333	1.534	1
332.553	3.333	1.914	1
335.894	3.333	1.613	1
339.236	3.333	1.493	1
360.592	3.333	2.564	1
363.934	3.333	1.357	1
367.275	3.333	1.475	1
370.616	3.333	2.275	1
373.958	3.333	1.663	0
377.299	3.333	2.223	1
398.656	3.333	1.763	1
401.997	3.333	1.615	1
405.338	3.333	1.933	1
408.68	3.333	2.689	1
412.021	3.333	2.123	0
415.363	3.333	1.941	1
436.719	3.333	1.867	1
440.06	3.333	2.478	1
443.402	3.333	1.87	1
446.743	3.333	1.891	1
450.085	3.333	2.746	1
453.426	3.333	2.682	1
